authorID,new_country_code,new_afftype,Coder,firstName,genderize,doi,gender_prediction,race_prediction,race
10.1093/jcmc/zmab011+2.0,TW,Education,Haley,Yeu-Sheng,,10.1093/jcmc/zmab011,M,2.0,Asian
10.1093/hcr/hqab011+3.0,US,Education,Haley,Joseph,male,10.1093/hcr/hqab011,M,0.0,White
10.1093/jcmc/zmaa019+1.0,US,Education,Haley,Xiaoqian,female,10.1093/jcmc/zmaa019,F,2.0,Asian
10.1093/ct/qtaa023+2.0,IL,Education,Haley,Tzlil,female,10.1093/ct/qtaa023,F,0.0,White
10.1093/joc/jqz052+36.0,US,Education,Haley,Neil,male,10.1093/joc/jqz052,M,1.0,Black
10.1093/ct/qtz039+2.0,US,Education,Haley,Matthew,male,10.1093/ct/qtz039,M,0.0,White
10.1093/joc/jqab009+1.0,US,Education,Haley,Alan,male,10.1093/joc/jqab009,M,0.0,White
10.1093/joc/jqab029+11.0,US,Education,Haley,Sun,male,10.1093/joc/jqab029,F,2.0,Asian
10.1093/hcr/hqab009+5.0,US,Education,Haley,Steven,male,10.1093/hcr/hqab009,M,0.0,White
10.1093/joc/jqab016+2.0,US,Education,Haley,Timeka,female,10.1093/joc/jqab016,F,1.0,Black
10.1093/jcmc/zmab013+1.0,US,Education,Haley,Bingjie,female,10.1093/jcmc/zmab013,F,0.0,White
10.1093/joc/jqaa039+1.0,NL,Education,Haley,Patti,female,10.1093/joc/jqaa039,F,0.0,White
10.1093/ccc/tcab033+1.0,CA,Education,Haley,Jordan,male,10.1093/ccc/tcab033,M,0.0,White
10.1093/hcr/hqab001+3.0,US,Education,Haley,Debby,female,10.1093/hcr/hqab001,F,0.0,White
10.1093/ccc/tcab057+1.0,US,Education,Haley,Aisha,female,10.1093/ccc/tcab057,F,1.0,Black
10.1093/jcmc/zmab002+2.0,US,Education,Haley,Ian,male,10.1093/jcmc/zmab002,M,2.0,Asian
10.1093/ct/qtaa023+1.0,IL,Education,Haley,Christian,male,10.1093/ct/qtaa023,M,0.0,White
10.1093/ct/qtaa005+5.0,US,Education,Haley,Seth,male,10.1093/ct/qtaa005,M,0.0,White
10.1093/joc/jqab029+7.0,US,Education,Haley,Filippo,male,10.1093/joc/jqab029,M,0.0,White
10.1093/hcr/hqab009+1.0,US,Education,Haley,Stephen,male,10.1093/hcr/hqab009,M,0.0,White
10.1093/joc/jqab035+5.0,US,Education,Haley,Nilam,female,10.1093/joc/jqab035,M,2.0,Asian
10.1093/ct/qtz007+1.0,US,Education,Haley,Helene,female,10.1093/ct/qtz007,F,0.0,White
10.1093/joc/jqaa041+1.0,US,Education,Haley,Jason,male,10.1093/joc/jqaa041,M,2.0,Asian
10.1093/jcmc/zmab003+3.0,SG,Education,Haley,Chen,male,10.1093/jcmc/zmab003,F,2.0,Asian
10.1093/jcmc/zmab014+2.0,US,Education,Haley,Wenbo,male,10.1093/jcmc/zmab014,M,2.0,Asian
10.1093/ccc/tcaa012+1.0,US,Education,Haley,Rachel,female,10.1093/ccc/tcaa012,F,0.0,White
10.1093/ct/qtaa009+2.0,CA,Education,Haley,Patrick,male,10.1093/ct/qtaa009,M,0.0,White
10.1093/jcmc/zmab016+1.0,CN,Education,Haley,Han,male,10.1093/jcmc/zmab016,F,2.0,Asian
